user_id,business_id,has_recent_order,has_recent_booking,has_recent_payment,opt_in_status,opt_out_status
user_001,biz_006,False,False,False,True,False
user_001,biz_010,False,False,True,False,False
user_002,biz_007,True,True,False,False,False
user_003,biz_001,False,False,True,False,False
user_003,biz_010,False,True,False,False,True
user_003,biz_005,False,True,False,False,False
user_004,biz_010,False,False,False,False,True
user_005,biz_007,False,False,False,False,False
user_006,biz_003,False,False,False,True,False
user_007,biz_003,True,True,False,True,False
user_007,biz_004,False,False,True,False,False
user_007,biz_007,False,False,False,False,True
user_008,biz_007,False,False,False,False,False
user_008,biz_005,False,True,False,False,False
user_009,biz_002,False,False,False,True,False
user_009,biz_007,False,True,False,False,True
user_009,biz_005,False,False,False,False,True
user_010,biz_003,True,False,False,True,False
user_010,biz_004,False,False,True,False,True
user_010,biz_001,False,False,True,False,False
user_010,biz_005,False,False,False,True,False
user_011,biz_009,False,False,False,False,False
user_011,biz_007,False,False,False,False,False
user_011,biz_006,True,True,False,False,False
user_011,biz_002,False,False,False,False,True
user_012,biz_008,False,False,False,False,False
user_012,biz_006,True,False,False,False,False
user_013,biz_007,False,False,True,False,True
user_013,biz_006,False,False,False,False,False
user_013,biz_003,True,False,False,False,True
user_013,biz_008,True,True,False,False,False
user_014,biz_004,True,True,False,True,False
user_014,biz_001,True,False,True,False,False
user_015,biz_009,False,False,False,False,True
user_016,biz_004,False,False,True,True,False
user_016,biz_005,False,True,True,True,False
user_016,biz_006,True,False,False,False,False
user_016,biz_003,False,False,False,True,False
user_017,biz_006,False,False,False,False,False
user_018,biz_003,False,True,False,True,False
user_018,biz_009,False,False,False,False,False
user_018,biz_008,True,False,False,False,True
user_018,biz_010,False,False,True,False,False
user_019,biz_010,False,False,True,False,False
user_019,biz_007,False,True,True,False,False
user_020,biz_008,True,False,False,False,True
user_020,biz_006,False,False,False,True,False
user_021,biz_005,True,False,True,False,True
user_022,biz_005,False,False,False,False,True
user_022,biz_003,True,False,True,True,False
user_022,biz_007,False,False,False,False,False
user_022,biz_006,False,False,True,False,False
user_023,biz_010,False,False,False,False,False
user_023,biz_002,True,False,False,True,False
user_024,biz_010,True,False,False,False,True
user_024,biz_009,True,False,True,False,False
user_025,biz_002,True,False,False,True,False
user_025,biz_009,False,True,False,False,False
user_025,biz_008,False,False,False,False,False
user_025,biz_007,False,False,True,False,True
user_026,biz_010,False,False,False,False,True
user_026,biz_002,True,False,True,True,False
user_027,biz_007,False,False,False,False,False
user_027,biz_003,True,False,False,False,False
user_027,biz_009,False,False,True,False,True
user_028,biz_009,False,True,True,False,True
user_028,biz_007,False,False,False,False,True
user_029,biz_009,False,True,False,False,False
user_029,biz_007,False,True,True,False,True
user_029,biz_004,True,True,True,False,True
user_029,biz_002,False,False,False,True,False
user_030,biz_004,False,True,False,True,False
user_031,biz_001,False,False,False,False,True
user_031,biz_003,False,True,False,False,True
user_032,biz_007,True,False,False,False,False
user_032,biz_005,False,False,True,True,False
user_033,biz_007,False,True,False,False,False
user_033,biz_009,True,False,False,False,False
user_033,biz_006,False,False,True,True,False
user_034,biz_001,True,False,True,True,False
user_034,biz_009,False,True,False,False,False
user_034,biz_007,True,False,False,False,False
user_034,biz_004,False,False,False,True,False
user_035,biz_002,False,True,False,True,False
user_036,biz_001,True,False,False,True,False
user_036,biz_004,True,False,False,True,False
user_036,biz_009,False,False,False,False,False
user_037,biz_005,True,False,False,False,False
user_037,biz_010,True,False,False,False,False
user_037,biz_006,False,True,False,False,True
user_038,biz_001,True,True,False,False,False
user_038,biz_005,False,True,False,True,False
user_039,biz_005,False,False,True,False,True
user_039,biz_008,False,False,False,False,True
user_039,biz_009,False,False,True,False,True
user_040,biz_002,False,True,False,True,False
user_041,biz_002,False,False,False,True,False
user_041,biz_003,False,False,True,True,False
user_042,biz_009,True,True,False,False,False
user_043,biz_009,True,True,True,False,False
user_043,biz_005,True,False,False,True,False
user_043,biz_001,False,False,True,False,False
user_044,biz_007,False,False,True,False,True
user_044,biz_008,True,False,False,False,True
user_044,biz_004,True,False,True,False,False
user_045,biz_002,False,True,False,False,False
user_045,biz_008,True,True,False,False,True
user_046,biz_005,True,False,True,False,True
user_046,biz_001,False,False,True,True,False
user_046,biz_002,False,True,False,False,True
user_046,biz_006,False,False,True,False,False
user_047,biz_009,True,True,False,False,False
user_048,biz_002,True,False,False,False,False
user_048,biz_006,True,False,False,False,False
user_049,biz_007,True,False,True,False,False
user_049,biz_003,True,False,False,True,False
user_049,biz_010,False,False,False,False,True
user_049,biz_001,True,True,False,False,True
user_050,biz_006,False,False,False,True,False
user_050,biz_005,True,True,False,False,True
user_050,biz_002,False,True,False,True,False
user_050,biz_008,False,True,False,False,False
user_051,biz_010,False,False,True,False,True
user_051,biz_009,False,False,False,False,True
user_052,biz_003,False,False,True,False,False
user_052,biz_002,True,False,False,False,False
user_052,biz_010,False,False,True,False,False
user_052,biz_004,True,False,True,False,True
user_053,biz_006,False,False,True,False,False
user_053,biz_007,False,False,False,False,False
user_053,biz_010,False,False,True,False,True
user_053,biz_004,False,False,False,False,False
user_054,biz_010,False,False,True,False,False
user_054,biz_004,False,False,True,True,False
user_054,biz_006,False,False,False,False,True
user_054,biz_009,False,False,False,False,True
user_055,biz_005,False,False,False,False,True
user_055,biz_004,False,False,False,True,False
user_056,biz_009,False,False,False,False,True
user_056,biz_010,True,True,False,False,True
user_056,biz_007,True,False,False,False,False
user_056,biz_005,False,False,True,True,False
user_057,biz_002,False,False,False,False,True
user_058,biz_008,False,False,False,False,False
user_058,biz_006,True,False,True,True,False
user_059,biz_007,False,False,False,False,True
user_059,biz_002,False,False,False,False,True
user_059,biz_009,True,False,False,False,False
user_060,biz_006,False,False,True,True,False
user_060,biz_002,False,True,False,True,False
user_060,biz_005,False,False,False,True,False
user_060,biz_001,False,True,True,True,False
user_061,biz_007,False,True,False,False,False
user_061,biz_001,False,False,True,True,False
user_061,biz_004,False,False,True,True,False
user_061,biz_008,True,False,False,False,False
user_062,biz_009,False,True,False,False,False
user_062,biz_006,False,True,False,False,False
user_062,biz_007,False,False,True,False,False
user_062,biz_005,True,True,False,True,False
user_063,biz_003,False,False,False,False,True
user_064,biz_010,True,False,False,False,False
user_064,biz_007,False,True,False,False,True
user_065,biz_003,False,True,False,False,True
user_065,biz_010,True,False,False,False,True
user_065,biz_006,False,False,False,False,False
user_066,biz_008,True,False,True,False,True
user_066,biz_003,False,False,True,False,True
user_066,biz_002,False,False,True,False,False
user_066,biz_005,False,False,False,True,False
user_067,biz_008,False,True,False,False,True
user_068,biz_005,False,True,False,False,False
user_068,biz_001,True,False,False,True,False
user_069,biz_010,True,True,True,False,True
user_069,biz_007,False,False,False,False,False
user_069,biz_003,False,False,False,True,False
user_070,biz_009,True,False,False,False,False
user_070,biz_002,True,True,False,True,False
user_070,biz_003,False,False,False,False,True
user_071,biz_010,False,False,True,False,False
user_071,biz_005,False,False,False,True,False
user_072,biz_008,False,True,False,False,True
user_072,biz_010,False,False,False,False,False
user_072,biz_006,False,False,True,False,True
user_073,biz_004,False,False,True,False,False
user_073,biz_008,False,False,True,False,False
user_073,biz_005,False,False,True,True,False
user_073,biz_003,False,False,True,True,False
user_074,biz_004,False,False,False,False,True
user_074,biz_003,False,False,True,True,False
user_074,biz_005,False,False,False,True,False
user_074,biz_002,False,True,False,True,False
user_075,biz_001,True,True,False,True,False
user_076,biz_009,True,False,False,False,True
user_076,biz_008,False,False,True,False,True
user_077,biz_002,False,False,False,True,False
user_077,biz_004,True,False,False,True,False
user_077,biz_007,True,False,False,False,True
user_077,biz_001,False,False,False,True,False
user_078,biz_003,True,True,True,False,True
user_078,biz_007,False,False,False,False,True
user_079,biz_007,False,False,True,False,True
user_079,biz_006,False,True,False,True,False
user_079,biz_003,False,False,False,False,True
user_080,biz_007,True,False,False,False,True
user_080,biz_005,False,False,False,True,False
user_081,biz_009,False,False,True,False,True
user_082,biz_010,False,True,True,False,True
user_082,biz_007,True,False,True,False,True
user_082,biz_006,False,False,False,True,False
user_082,biz_005,False,False,True,False,False
user_083,biz_005,False,True,True,False,True
user_083,biz_002,False,False,False,False,False
user_084,biz_005,True,True,True,False,True
user_085,biz_002,True,False,True,True,False
user_085,biz_008,True,False,False,False,True
user_085,biz_001,False,True,False,False,True
user_085,biz_003,True,False,False,False,True
user_086,biz_009,False,False,False,False,True
user_086,biz_002,False,False,True,False,True
user_086,biz_005,False,True,False,False,True
user_087,biz_004,True,True,True,True,False
user_088,biz_006,True,False,True,True,False
user_088,biz_007,False,False,False,False,False
user_088,biz_003,True,False,False,True,False
user_088,biz_002,True,False,True,True,False
user_089,biz_002,True,False,False,False,False
user_089,biz_008,False,True,False,False,True
user_089,biz_005,False,False,False,False,True
user_089,biz_007,True,False,False,False,False
user_090,biz_003,True,False,False,False,True
user_090,biz_001,True,False,False,True,False
user_091,biz_002,True,True,False,False,False
user_091,biz_004,True,True,False,False,True
user_091,biz_009,False,False,False,False,False
user_092,biz_010,False,True,False,False,True
user_093,biz_002,False,False,False,True,False
user_093,biz_001,False,False,False,False,False
user_093,biz_007,True,True,True,False,True
user_093,biz_006,True,True,False,True,False
user_094,biz_006,False,False,False,False,True
user_094,biz_007,True,True,True,False,False
user_094,biz_002,True,False,True,False,True
user_094,biz_005,False,False,False,True,False
user_095,biz_005,True,False,False,False,True
user_096,biz_002,True,True,True,True,False
user_096,biz_008,True,True,False,False,True
user_097,biz_002,True,False,False,True,False
user_097,biz_005,False,True,True,True,False
user_097,biz_010,True,True,False,False,False
user_098,biz_007,True,False,True,False,False
user_098,biz_008,False,False,False,False,True
user_098,biz_001,False,False,False,True,False
user_098,biz_004,False,False,False,True,False
user_099,biz_001,True,False,False,True,False
user_099,biz_002,False,False,False,True,False
user_099,biz_005,False,False,False,False,False
user_099,biz_004,False,True,True,False,False
user_100,biz_010,True,False,False,False,False
user_100,biz_004,True,True,True,False,True
user_100,biz_001,False,False,True,True,False
